2023-09-02T09:43:47.777-03:00 DEBUG 26252 --- [main] o.s.boot.ApplicationEnvironment          : Activating profiles []
2023-09-02T09:43:47.780-03:00 DEBUG 26252 --- [background-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2023-09-02T09:43:47.812-03:00 DEBUG 26252 --- [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
2023-09-02T09:43:47.814-03:00 DEBUG 26252 --- [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
2023-09-02T09:43:47.816-03:00 DEBUG 26252 --- [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2023-09-02T09:43:47.816-03:00 DEBUG 26252 --- [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
2023-09-02T09:43:47.824-03:00 DEBUG 26252 --- [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Cannot find jakarta.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2023-09-02T09:43:47.861-03:00 DEBUG 26252 --- [background-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2023-09-02T09:43:47.893-03:00  INFO 26252 --- [main] d.n.client.CustomerShellApplication      : Starting CustomerShellApplication using Java 17.0.5 with PID 26252 (C:\workspace\intelliJ\RestClientShell\target\classes started by noe_l in C:\workspace\intelliJ\RestClientShell)
2023-09-02T09:43:47.894-03:00 DEBUG 26252 --- [main] d.n.client.CustomerShellApplication      : Running with Spring Boot v3.2.0-SNAPSHOT, Spring v6.1.0-M4
2023-09-02T09:43:47.896-03:00  INFO 26252 --- [main] d.n.client.CustomerShellApplication      : No active profile set, falling back to 1 default profile: "default"
2023-09-02T09:43:47.897-03:00 DEBUG 26252 --- [main] o.s.boot.SpringApplication               : Loading source class dev.noelopez.client.CustomerShellApplication
2023-09-02T09:43:47.972-03:00 DEBUG 26252 --- [main] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6531a794
2023-09-02T09:43:47.996-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-09-02T09:43:48.023-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-09-02T09:43:48.026-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2023-09-02T09:43:48.034-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2023-09-02T09:43:48.035-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2023-09-02T09:43:48.035-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2023-09-02T09:43:48.035-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2023-09-02T09:43:48.035-03:00 DEBUG 26252 --- [background-preinit] .i.e.ValidatorFactoryConfigurationHelper : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2023-09-02T09:43:48.115-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\config\APIProperties.class]
2023-09-02T09:43:48.118-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\config\AppConfig.class]
2023-09-02T09:43:48.130-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\initializer\PasswordGeneratorInitializer.class]
2023-09-02T09:43:48.134-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\service\api\HttpAPIHandler.class]
2023-09-02T09:43:48.136-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\service\CustomerService.class]
2023-09-02T09:43:48.137-03:00 DEBUG 26252 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\workspace\intelliJ\RestClientShell\target\classes\dev\noelopez\client\service\LoginService.class]
2023-09-02T09:43:48.724-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2023-09-02T09:43:48.733-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2023-09-02T09:43:48.749-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2023-09-02T09:43:48.751-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'forceAutoProxyCreatorToUseClassProxying'
2023-09-02T09:43:48.752-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2023-09-02T09:43:48.760-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2023-09-02T09:43:48.762-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2023-09-02T09:43:48.768-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2023-09-02T09:43:48.769-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2023-09-02T09:43:48.772-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2023-09-02T09:43:48.782-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2023-09-02T09:43:48.784-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
2023-09-02T09:43:48.819-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2023-09-02T09:43:48.830-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'customerShellApplication'
2023-09-02T09:43:48.834-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'APIProperties'
2023-09-02T09:43:48.837-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
2023-09-02T09:43:48.848-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'appConfig'
2023-09-02T09:43:48.849-03:00 DEBUG 26252 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'loginService'
